asset_type_score,asset_type,campaign_volume_tier,campaign_volume_score,total_leads_delivered,engagement_sequence,engagement_sequence_score,audience_type,audience_type_score,company_size_score,email1_opened,email1_clicked,email2_opened,email2_clicked,total_engagements,fit_score,intent_score,campaign_quality_score,combined_score,is_executive,has_engagement,email1_engagement,email2_engagement,total_engagement_score,unsubscribed
0.5,0.0,0.0,0.9,242.0,0.0,0.2,0.0,1.0,8,0,0,0,0,0,100.0,16.0,70.0,71.8,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,4,0,0,0,0,0,70.0,14.000000000000002,45.0,50.7,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,6,0,0,0,0,0,85.0,14.000000000000002,45.0,59.7,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,4,1,1,1,0,3,70.0,75.50000000000001,45.0,69.15,1,1,2,1,3,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,4,1,0,1,0,2,70.0,63.000000000000014,45.0,65.4,1,1,1,1,2,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,2,0,0,0,0,0,55.00000000000001,14.000000000000002,45.0,41.7,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,7,1,1,1,0,3,72.50000000000001,75.50000000000001,45.0,70.65,1,1,2,1,3,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.5,4,0,0,0,0,0,50.0,14.000000000000002,45.0,38.7,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,7,1,0,1,0,2,92.5,63.000000000000014,45.0,78.9,1,1,1,1,2,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,4,1,0,1,1,3,50.0,75.50000000000001,45.0,57.150000000000006,1,1,1,2,3,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,8,0,0,0,0,0,100.0,14.000000000000002,45.0,68.7,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.5,7,0,0,1,0,1,72.50000000000001,38.5,45.0,59.550000000000004,1,1,0,1,1,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,7,1,0,1,0,2,72.50000000000001,63.000000000000014,45.0,66.9,1,1,1,1,2,0
0.4,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.5,7,0,0,1,0,1,72.50000000000001,38.5,45.0,59.550000000000004,1,1,0,1,1,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,7,0,0,0,0,0,92.5,14.000000000000002,45.0,64.2,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.5,8,0,0,0,0,0,80.0,14.000000000000002,45.0,56.7,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,7,0,0,0,0,0,92.5,14.000000000000002,45.0,64.2,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,8,1,0,1,0,2,100.0,63.000000000000014,45.0,83.4,1,1,1,1,2,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.5,7,0,0,0,0,0,72.50000000000001,14.000000000000002,45.0,52.20000000000001,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,7,1,0,1,0,2,72.50000000000001,63.000000000000014,45.0,66.9,1,1,1,1,2,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,4,1,0,1,0,2,70.0,63.000000000000014,45.0,65.4,1,1,1,1,2,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,6,0,0,0,0,0,85.0,14.000000000000002,45.0,59.7,1,0,0,0,0,0
0.4,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,7,1,0,1,0,2,92.5,63.000000000000014,45.0,78.9,1,1,1,1,2,0
0.4,0.0,0.0,0.5,0.0,0.0,0.2,0.0,1.0,4,0,0,0,0,0,70.0,14.000000000000002,45.0,50.7,1,0,0,0,0,0
